Compound ID,Compound Name,CAS,Index     #,Alternate Name(s),Formula ,SMILES (pubchem),c,e,s,a,b,l,ref,E,S,A,B,V,L,ref
1,1-butanol,71-36-3,692,n-butyl alcohol,C4H10O,CCCCO,-0.004,-0.285,0.768,3.705,0.879,0.890,BuOH/Dry/2010,0.22,0.42,0.37,0.48,0.7309,2.601,LSER Database for CompTox Users (2017)
2,1-decanol,112-30-1,1869,decyl alcohol,C10H22O,CCCCCCCCCCO,-0.139,-0.090,0.356,3.547,0.727,0.958,DecOH/Dry/2010,0.19,0.42,0.37,0.48,1.5763,5.628,LSER Database for CompTox Users (2017)
3,1-hexanol,111-27-3,1158,hexyl alcohol,C6H14O,CCCCCCO,-0.014,-0.205,0.583,3.621,0.891,0.913,HexOH/Dry/2010,0.21,0.42,0.37,0.48,1.0127,3.61,LSER Database for CompTox Users (2017)
4,1-octanol,111-87-5,1572,octyl alcohol,C8H18O,CCCCCCCCO,-0.147,-0.214,0.561,3.507,0.749,0.943,OctOH/Dry/2010,0.2,0.42,0.37,0.48,1.2945,4.619,LSER Database for CompTox Users (2017)
5,1-pentanol,71-41-0,906,amyl alcohol,C5H12O,CCCCCO,-0.002,-0.161,0.535,3.778,0.960,0.900,PeOH/Dry/2010,0.22,0.42,0.37,0.48,0.8718,3.106,LSER Database for CompTox Users (2017)
6,1-propanol,71-23-8,483,propyl alcohol,C3H8O,CCCO,-0.042,-0.246,0.749,3.888,1.076,0.874,PrOH/Dry/2010,0.24,0.42,0.37,0.48,0.59,2.031,LSER Database for CompTox Users (2017)
7,"2,2,2-trifluoroethanol",75-89-8,270,,C2H3F3O,C(C(F)(F)F)O,-0.092,-0.547,1.339,2.213,3.807,0.645,"2,2,2-Trifluoroethanol",0.02,0.6,0.57,0.25,0.5022,1.224,LSER Database for CompTox Users (2017)
13,2-propanol,67-63-0,484,isopropanol,C3H8O,CC(C)O,-0.048,-0.324,0.713,4.036,1.055,0.884,Propan-2-ol/Dry/2010,0.21,0.36,0.33,0.56,0.59,1.764,LSER Database for CompTox Users (2017)
18,acetonitrile,75-05-8,272,acetic acid nitrile,C2H3N,CC#N,-0.007,-0.595,2.461,2.085,0.418,0.738,Acetonitrile,0.24,0.9,0.04,0.33,0.4042,1.739,LSER Database for CompTox Users (2017)
19,benzene,71-43-2,986,phene,C6H6,C1=CC=CC=C1,0.107,-0.313,1.053,0.457,0.169,1.020,Benzene /w,0.61,0.52,0,0.14,0.7164,2.786,LSER Database for CompTox Users (2017)
20,benzonitrile,100-47-0,1236,benzoic acid nitrile,C7H5N,C1=CC=C(C=C1)C#N,-0.075,-0.341,1.798,2.030,0.291,0.880,Benzonitrile/wd,0.74,1.11,0,0.33,0.8711,4.039,LSER Database for CompTox Users (2017)
21,benzyl alcohol,100-51-6,1269,alpha-hydroxy toluene,C7H8O,C1=CC=C(C=C1)CO,-0.305,-0.344,1.533,2.773,1.372,0.860,Benzyl alcohol/d/PCL - in press,0.8,0.87,0.33,0.56,0.916,4.221,LSER Database for CompTox Users (2017)
22,bromobenzene,108-86-1,969,,C6H5Br,C1=CC=C(C=C1)Br,-0.064,-0.326,1.261,0.323,0.292,1.002,Bromobenzene/wd,0.88,0.73,0,0.09,0.8914,4.041,LSER Database for CompTox Users (2017)
23,carbon tetrachloride,56-23-5,145,tetrachloromethane,CCl4,C(Cl)(Cl)(Cl)Cl,0.217,-0.435,0.554,0.000,0.000,1.069,Tetrachloromethane/2009,0.46,0.38,0,0,0.7391,2.823,LSER Database for CompTox Users (2017)
24,chlorobenzene,108-90-7,971,,C6H5Cl,C1=CC=C(C=C1)Cl,0.064,-0.399,1.151,0.313,0.171,1.032,Chlorobenzene/wd,0.72,0.65,0,0.07,0.8388,3.657,LSER Database for CompTox Users (2017)
25,cyclohexane,110-82-7,1074,hexamethylene,C6H12,C1CCCCC1,0.163,-0.110,0.000,0.000,0.000,1.013,Cyclohexane/Dec/98,0.31,0.1,0,0,0.8454,2.964,LSER Database for CompTox Users (2017)
28,dibutyl ether,142-96-1,1565,di-n-butyl ether,C8H18O,CCCCOCCCC,0.153,-0.406,0.758,2.152,-0.610,1.008,Dibutyl ether/2010/FPE,0.00,0.25,0,0.45,1.2945,3.924,LSER Database for CompTox Users (2017)
29,dichloromethane,75-09-2,173,methylene chloride,CH2Cl2,C(Cl)Cl,0.192,-0.572,1.492,0.460,0.847,0.965,Dichloromethane/2009,0.39,0.57,0.1,0.05,0.4943,2.019,LSER Database for CompTox Users (2017)
30,diethyl ether,60-29-7,694,,C4H10O,CCOCC,0.288,-0.379,0.904,2.937,0.000,0.963,Diethyl ether/2010/FPE,0.04,0.26,0,0.44,0.7309,2.012,LSER Database for CompTox Users (2017)
32,dimethyl sulfoxide,67-68-5,320,,C2H6OS,CS(=O)C,-0.556,-0.223,2.903,5.037,0.000,0.719,Dimethyl sulfoxide,0.52,1.74,0,0.88,0.6126,3.459,LSER Database for CompTox Users (2017)
33,ethanol,64-17-5,317,,C2H6O,CCO,0.017,-0.232,0.867,3.894,1.192,0.846,EtOH/Dry/2010,0.25,0.42,0.37,0.48,0.4491,1.485,LSER Database for CompTox Users (2017)
